Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
15.683333,75.36,5.800999972,,,,
15.7,75.2,5.800999972,,,,
15.716667,75.5,5.799999993,,,,
15.733333,75.41,5.799999993,,,,
15.75,75.01,5.799000013,,,,
15.766667,75.27,5.798000034,,,,
15.783333,75.2,5.799999993,,,,
15.8,74.97,5.798000034,,,,
15.816667,75.16,5.798000034,,,,
15.833333,75.35,5.802000047,,,,
15.85,74.94,5.796999959,,,,
15.866667,75.67,5.800999972,,,,
15.883333,75.14,5.796999959,,,,
15.9,75.35,5.799999993,,,,
15.916667,75.28,5.799000013,,,,
15.933333,75.04,5.796999959,,,,
15.95,75.05,5.798000034,,,,
15.966667,74.86,5.795000001,,,,
15.983333,75.07,5.794000021,,,,
16,74.84,5.795000001,,,,
16.016667,75.31,5.79599998,,,,
16.033333,75.32,5.796999959,,,,
16.05,75.11,5.793000042,,,,
16.066667,75.25,5.795000001,,,,
16.083333,75.48,5.791999967,,,,
16.1,75.3,5.794000021,,,,
16.116667,75.32,5.793000042,,,,
16.133333,75.15,5.790999988,,,,
16.15,75.51,5.793000042,,,,
16.166667,75.09,5.791999967,,,,
16.183333,75.26,5.793000042,,,,
16.2,75.28,5.793000042,,,,
16.216667,75.2,5.791999967,,,,
16.233333,74.92,5.790000009,,,,
16.25,75.1,5.790999988,,,,
16.266667,74.97,5.790000009,,,,
16.283333,75.22,5.78900003,,,,
16.3,74.83,5.78900003,,,,
16.316667,74.68,5.790000009,,,,
16.333333,74.93,5.787999954,,,,
16.35,75.27,5.786999975,,,,
16.366667,75.57,5.78900003,,,,
16.383333,75.28,5.785999996,,,,
16.4,74.95,5.784000038,,,,
16.416667,75.17,5.786999975,,,,
16.433333,75.04,5.78900003,,,,
16.45,75.08,5.785999996,,,,
16.466667,74.94,5.785000017,,,,
16.483333,75.24,5.785999996,,,,
16.5,75.41,5.785000017,,,,
16.516667,75.3,5.786999975,,,,
16.533333,75.02,5.785999996,,,,
16.55,75.44,5.785999996,,,,
16.566667,75.08,5.781999983,,,,
16.583333,75.15,5.785000017,,,,
16.6,75.28,5.782999962,,,,
